NumParticles,Energy
2,0.500000000
3,1.732050808
4,3.674234614
5,6.474691495
6,9.985281374
7,14.452977414
8,19.675287861
9,25.759986531
10,32.716949460
11,40.596450510
12,49.165253058
13,58.853230612
14,69.306363297
15,80.670244114
16,92.911655302
17,106.050404829
18,120.084467447
19,135.089467557
20,150.881568334
21,167.641622399
22,185.287536149
23,203.930190663
24,223.347074052
25,243.812760299
26,265.133326317
27,287.302615033
28,310.491542358
29,334.634439920
30,359.603945904
31,385.530838063
32,412.261274651
33,440.204057448
34,468.904853281
35,498.569872491
36,529.122408375
37,560.618887731
38,593.038503566
39,626.389009017
40,660.675278835
41,695.916744342
42,732.078107544
43,769.190846459
44,807.174263085
45,846.188401061
46,886.167113639
47,927.059270680
48,968.713455344
49,1011.557182654
50,1055.182314726
51,1099.819290319
52,1145.418964319
53,1191.922290416
54,1239.361474729
55,1287.772720783
56,1337.094945276
57,1387.383229253
58,1438.618250640
59,1490.773335279
60,1543.830400976
61,1597.941830199
62,1652.909409898
63,1708.879681503
64,1765.802577927
65,1823.667960264
66,1882.441525304
67,1942.122700406
68,2002.874701749
69,2064.533483235
70,2127.100901551
71,2190.649906425
72,2255.001190975
73,2320.633883745
74,2387.072981838
75,2454.369689040
76,2522.674871841
77,2591.850152354
78,2662.046474566
79,2733.248357479
80,2805.355875981
81,2878.522829664
82,2952.569675286
83,3027.528488921
84,3103.465124431
85,3180.361442939
86,3258.211605713
87,3337.000750014
88,3416.720196758
89,3497.439018625
90,3579.091222723
91,3661.713699320
92,3745.291636241
93,3829.844338421
94,3915.309269620
95,4001.771675565
96,4089.154010060
97,4177.533599622
98,4266.822464156
99,4357.139163132
100,4448.350634331
101,4540.590051694
102,4633.736565899
103,4727.836616833
104,4822.876522746
105,4919.000637616
106,5015.984595705
107,5113.953547724
108,5212.813507831
109,5312.735079920
110,5413.549294192
111,5515.293214587
112,5618.044882327
113,5721.824978027
114,5826.521572163
115,5932.181285777
116,6038.815593579
117,6146.342446579
118,6254.877027790
119,6364.347317479
120,6474.756324980
121,6586.121949584
122,6698.374499261
123,6811.827228174
124,6926.169974193
125,7041.473264023
126,7157.669224867
127,7274.819504675
128,7393.007443068
129,7512.107319268
130,7632.167378912
131,7753.205166941
132,7875.045342797
133,7998.179212898
134,8122.089721194
135,8246.909486992
136,8372.743302539
137,8499.534494782
138,8627.406389880
139,8756.227056057
140,8885.980609041
141,9016.615349190
142,9148.271579993
143,9280.839851192
144,9414.371794460
145,9548.928837232
146,9684.381825575
147,9820.932378373
148,9958.406004270
149,10096.859907397
150,10236.196436701
151,10376.571469275
152,10517.867592878
153,10660.082748237
154,10803.372421141
155,10947.574692279
156,11092.798311456
157,11238.903041156
158,11385.990186197
159,11534.023960956
160,11683.054805549
161,11833.084739465
162,11984.050335814
163,12136.013053220
164,12288.930105320
165,12442.804451373
166,12597.649071323
167,12753.469429750
168,12910.212672268
169,13068.006451127
170,13226.681078541
171,13386.355930717
172,13547.018108787
173,13708.635243034
174,13871.187092292
175,14034.781306929
176,14199.354775632
177,14364.837545298
178,14531.309552587
179,14698.754594220
180,14867.099927525
181,15036.467239769
182,15206.730610906
183,15378.166571028
184,15550.421450311
185,15723.720074072
186,15897.897437048
187,16072.975186320
188,16249.222678879
189,16426.371938862
190,16604.428338501
191,16783.452219362
192,16963.338386460
193,17144.564740880
194,17326.616136471
195,17509.489303930
196,17693.460548082
197,17878.340162571
198,18064.262177195
199,18251.082495640
200,18438.842717530
201,18627.591226244
202,18817.204718262
203,19007.981204580
204,19199.540775603
212,20768.053085964
214,21169.910410375
216,21575.596377869
217,21779.856080418
232,24961.252318934
255,30264.424251281
256,30506.687515847
257,30749.941417346
272,34515.193292681
282,37147.294418462
292,39877.008012909
306,43862.569780797
312,45629.313804002
315,46525.825643432
317,47128.310344520
318,47431.056020043
334,52407.728127822
348,56967.472454334
357,59999.922939598
358,60341.830924588
372,65230.027122557
382,68839.426839215
390,71797.035335953
392,72546.258370889
400,75582.448512213
402,76351.192432673
432,88353.709681956
448,95115.546986209
460,100351.763108673
468,103920.871715127
470,104822.886324279
